iso3,year,esperance_vie,medecins,uhc,vaccination_dtp3,sante_mentale,services_veterinaires,maladies_animales,vaccination_animale,bien_etre_animal,faune_sauvage,qualite_air,qualite_eau,biodiversite,couverture_forestiere,traitement_eaux_usees,liberte_presse,surveillance_epidemiologique,partage_donnees,preparation_pandemies,gestion_crises
COM,2000,,,,,,,,,,,,,,22.3965609887157,,,,,,
COM,2010,,,,,,,,,,,,,,20.0429876410532,,,,,,
COM,2020,,,,,,,,,,,,,,17.6894142933906,,,,,,
COM,2026,,,,,,,,,,,,,,16.9801182160129,,,,,,
CPV,2000,,,,,,,,,,,,,,9.8560794044665,,,,,,
CPV,2010,,,,,,,,,,,,,,10.6004962779156,,,,,,
CPV,2020,,,,,,,,,,,,,,11.3449131513648,,,,,,
CPV,2026,,,,,,,,,,,,,,11.5682382133995,,,,,,
CRI,2000,,,,,,,,,,,,,,55.9580885233059,,,,,,
CRI,2010,,,,,,,,,,,,,,56.231884057971,,,,,,
CRI,2020,,,,,,,,,,,,,,59.4373286329808,,,,,,
CRI,2026,,,,,,,,,,,,,,60.3991382687035,,,,,,
CUB,2000,,,,,,,,,,,,,,22.6722532588454,,,,,,
CUB,2010,,,,,,,,,,,,,,27.5460353250658,,,,,,
CUB,2020,,,,,,,,,,,,,,31.233140655106,,,,,,
CUB,2026,,,,,,,,,,,,,,31.233140655106,,,,,,
CUW,2000,,,,,,,,,,,,,,,,,,,,
CUW,2010,,,,,,,,,,,,,,,,,,,,
CUW,2020,,,,,,,,,,,,,,0.157657657657658,,,,,,
CUW,2026,,,,,,,,,,,,,,0.157657657657658,,,,,,
CYM,2000,,,,,,,,,,,,,,53.875,,,,,,
CYM,2010,,,,,,,,,,,,,,53.0,,,,,,
CYM,2020,,,,,,,,,,,,,,53.0,,,,,,
CYM,2026,,,,,,,,,,,,,,52.4720833333333,,,,,,
CYP,2000,,,,,,,,,,,,,,18.5725108225108,,,,,,
CYP,2010,,,,,,,,,,,,,,18.7056277056277,,,,,,
CYP,2020,,,,,,,,,,,,,,18.6720779220779,,,,,,
CYP,2026,,,,,,,,,,,,,,18.6655844155844,,,,,,
CZE,2000,,,,,,,,,,,,,,34.1308399119969,,,,,,
CZE,2010,,,,,,,,,,,,,,34.4086494885407,,,,,,
CZE,2020,,,,,,,,,,,,,,34.6779919254939,,,,,,
CZE,2026,,,,,,,,,,,,,,34.7623883740408,,,,,,
DEU,2000,,,,,,,,,,,,,,32.5376128385155,,,,,,
DEU,2010,,,,,,,,,,,,,,32.7308718478354,,,,,,
DEU,2020,,,,,,,,,,,,,,32.6826755201923,,,,,,
DEU,2026,,,,,,,,,,,,,,32.6789342643734,,,,,,
DJI,2000,,,,,,,,,,,,,,0.241587575496117,,,,,,
DJI,2010,,,,,,,,,,,,,,0.241587575496117,,,,,,
DJI,2020,,,,,,,,,,,,,,0.250215703192407,,,,,,
DJI,2026,,,,,,,,,,,,,,0.260724762726488,,,,,,
DMA,2000,,,,,,,,,,,,,,63.8266666666667,,,,,,
DMA,2010,,,,,,,,,,,,,,63.8266666666667,,,,,,
DMA,2020,,,,,,,,,,,,,,63.8266666666667,,,,,,
DMA,2026,,,,,,,,,,,,,,63.8266666666667,,,,,,
DNK,2000,,,,,,,,,,,,,,14.29,,,,,,
DNK,2010,,,,,,,,,,,,,,14.66225,,,,,,
DNK,2020,,,,,,,,,,,,,,15.711,,,,,,
DNK,2026,,,,,,,,,,,,,,15.7815,,,,,,
DOM,2000,,,,,,,,,,,,,,40.8294348996067,,,,,,
DOM,2010,,,,,,,,,,,,,,42.9128544814738,,,,,,
DOM,2020,,,,,,,,,,,,,,44.4852298911864,,,,,,
DOM,2026,,,,,,,,,,,,,,44.9887775472934,,,,,,
DZA,2000,70.576,,,,,,,,,,,,,0.662960692602887,,,,,,
DZA,2010,74.144,,,,,,,,,,,,,0.805293608874184,,,,,,
DZA,2020,73.257,,,,,,,,,,,,,0.818309303282474,,,,,,
DZA,2026,76.475,,,,,,,,,,,,,0.830314224054683,,,,,,
ECU,2000,,,,,,,,,,,,,,55.2846674182638,,,,,,
ECU,2010,,,,,,,,,,,,,,52.456877113867,,,,,,
ECU,2020,,,,,,,,,,,,,,50.3214285714286,,,,,,
ECU,2026,,,,,,,,,,,,,,49.5450958286359,,,,,,
EGY,2000,,,,,,,,,,,,,,0.0594806368978854,,,,,,
EGY,2010,,,,,,,,,,,,,,0.0659400271234115,,,,,,
EGY,2020,,,,,,,,,,,,,,0.0451855944547692,,,,,,
