iso3,year,esperance_vie,medecins,uhc,vaccination_dtp3,sante_mentale,services_veterinaires,maladies_animales,vaccination_animale,bien_etre_animal,faune_sauvage,qualite_air,qualite_eau,biodiversite,couverture_forestiere,traitement_eaux_usees,liberte_presse,surveillance_epidemiologique,partage_donnees,preparation_pandemies,gestion_crises
BIH,2026,78.044,2.584,64.0,,8.97168902,,19,0.0,,31,26.996908079,86.400107879006,9.5,42.7326171875,65.30693817,28.34,,,,
BLR,2000,68.9121951219512,3.268,69.0,,39.50342102,,,,,,,81.9372416838492,,40.78423252879,,,,,,
BLR,2010,70.4048780487805,3.511,75.0,,34.1643475,,969,0.0,,682,15.671468292,89.5180217084409,,42.5328483701491,,,,,,
BLR,2020,72.1385609756098,4.605,80.0,,16.27145167,,1,0.0,,0,11.220913357,92.8444536646282,9.4,43.1944033894965,56.47111,49.75,,,,
BLR,2026,74.3653414634147,4.717,80.0,,15.61153568,,1,0.0,,0,9.659053643,93.0597552933534,9.2,43.4080686559958,83.31433868,50.82,,,,
BLZ,2000,68.911,1.042,64.0,,6.642973818,,,,,,,,,63.9763261727313,,,,,,
BLZ,2010,70.875,,67.0,,6.445256454,,13,72.73,,0,14.439825201,,,60.9991231915826,,,,,,
BLZ,2020,71.58,,68.0,,3.70020543,,7,0.0,,1,13.323120927,,21.1,55.9864094695309,,27.5,,,,
BLZ,2026,73.739,1.086,70.0,,4.17651988,,7,0.0,,1,11.54778019,,26.8,54.5186321788689,,27.61,,,,
BMU,2000,78.251,,,,,,,,,,,,,18.5185185185185,,,,,,
BMU,2010,79.414,,,,,,,,,,,,,18.5185185185185,,,,,,
BMU,2020,81.456,,,,,,,,,,,,0.0,18.5185185185185,,,,,,
BMU,2026,82.49,,,,,,,,,,,,0.0,18.5185185185185,,,,,,
BOL,2000,62.057,,45.0,,6.542378059,,,,,,,,,50.8643865965107,,,,,,
BOL,2010,66.003,0.433,50.0,,5.757775738,,121,37.26,,9,23.670457374,,,49.0039785839564,,,,,,
BOL,2020,62.906,0.961,65.0,,4.791004975,,647,0.46,,0,19.459969926,,30.9,46.9249146127573,58.29204,35.37,,,,
BOL,2026,68.739,1.284,67.0,,4.196779988,,647,0.46,,0,17.655830237,,30.9,46.3457431920982,58.29204,35.47,,,,
BRA,2000,69.584,,71.0,,4.228306353,,,,,,,75.7844900976305,,65.9343586013156,,,,,,
BRA,2010,73.779,,77.0,,5.248824721,,15347,0.0,,150,33.692515208,79.2500382762913,,61.2074815688658,,,,,,
BRA,2020,74.506,,84.0,,6.931944159,,3461,100.0,,21,25.344103601,85.7419162623334,29.2,59.4174780513368,33.02745,34.05,,,,
BRA,2026,76.023,2.357,84.0,,7.594025788,,7,0.0,,6,23.026514618,88.6239660721414,29.4,58.9818729765235,43.40779,36.25,,,,
BRB,2000,74.58,1.393,77.0,,5.201424037,,,,,,,,,14.6511627906977,,,,,,
BRB,2010,75.488,,79.0,,4.374453726,,8,,,0,13.485167523,,,14.6511627906977,,,,,,
BRB,2020,76.647,2.616,80.0,,4.136602095,,,,,,11.616740093,,0.0,14.6511627906977,,,,,,
BRB,2026,76.332,2.958,82.0,,3.503100187,,8,,,0,9.853918489,,0.1,14.6511627906977,,,,,,
BRN,2000,74.017,1.029,72.0,,1.530234379,,,,,,,,,75.3320683111954,,,,,,
BRN,2010,74.82,1.435,78.0,,1.050519436,,6,0.0,,7,8.075100205,,,72.1062618595825,,,,,,
BRN,2020,75.114,,84.0,,2.933658497,,,,,,5.364233012,,9.0,72.1062618595825,,49.65,,,,
BRN,2026,75.501,1.886,84.0,,3.047169686,,6,0.0,,7,4.599866137,,7.5,72.1062618595825,,49.91,,,,
BTN,2000,61.842,,46.0,,5.702570857,,,,,,,28.4402757427527,,65.4773869346734,,,,,,
BTN,2010,68.765,,55.0,,5.154224571,,24,3.88,,0,43.702734564,32.0850118680958,,70.9733189915261,,,,,,
BTN,2020,72.253,0.486,69.0,,5.076827184,,52,2.83,,12,31.706858336,63.6189346951156,49.7,71.4472994231778,40.99144,28.9,,,,
BTN,2026,73.262,0.553,69.0,,4.903836611,,14,36.75,,0,31.423338754,65.5942159692749,51.6,71.60513896172,48.76371002,28.86,,,,
BWA,2000,52.263,0.298,41.0,,12.08191346,,,,,,,59.1969933282748,,31.0918779665802,,,,,,
BWA,2010,59.137,0.403,56.0,,16.46463689,,144,100.0,,2,15.724238806,68.816174318534,,29.0044642069416,,,,,,
BWA,2020,67.643,0.433,61.0,,8.908352307,,84,21.28,,81,14.195896194,65.7593518676202,29.1,26.9170504473029,,23.56,,,,
BWA,2026,69.293,0.379,60.0,,8.35227579,,31,70.63,,0,15.863754601,63.2910412393649,27.6,26.2908263194114,,23.25,,,,
CAF,2000,46.609,,23.0,,12.60820551,,,,,,,8.53086461225762,,36.7636200199043,,,,,,
CAF,2010,46.871,,30.0,,10.23941582,,95,100.0,,0,32.827227601,7.25241340379626,,36.282063629651,,,,,,
CAF,2020,50.596,,34.0,,9.729033632,,,,,,36.124629302,6.18331831077395,18.1,35.8005072393977,0.57208,42.87,,,,
CAF,2026,57.671,0.074,39.0,,9.189317766,,95,100.0,,0,32.601707527,6.21748768966731,14.8,35.6560403223217,0.57208,41.92,,,,
