Année,Semestre,Région mondiale,Pays,Division administrative,Maladie,Génotype/sérotype/sous-type,Catégorie animale,Event_id,Espèce,Outbreak_id,Nouveaux foyers,Sensibles,Unités de mesure,Cas,Mis à mort et éliminés,Abattus/mis a mort à des fins commerciales,Morts,Vaccinés
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Tous,-,"",-,3,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Maladie de Newcastle  (Inf. par le virus de la)","",Domestique,-,"Oiseaux",-,-,-,Animal,302,85,0,213,57
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Maladie de Newcastle  (Inf. par le virus de la)","",Tous,-,"",-,3,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Peste équine  (Inf. par le virus de la)","not sampled",Domestique,-,"Equidés",-,-,11,Animal,51,0,0,16,62
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Peste équine  (Inf. par le virus de la)","not sampled",Tous,-,"",-,43,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Trypanosoma equiperdum (Inf. à) (Dourine)","",Domestique,-,"Equidés",-,-,2,Animal,1,1,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Trypanosoma equiperdum (Inf. à) (Dourine)","",Tous,-,"",-,1,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Typhose aviaire","",Domestique,-,"Oiseaux",-,-,59000,Animal,12,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Gauteng","Typhose aviaire","",Tous,-,"",-,2,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kruger National Park","Fièvre charbonneuse","",Sauvage,-,"Faune sauvage (espèce non spécifiée)",-,-,-,Animal,69,0,0,69,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kruger National Park","Fièvre charbonneuse","",Tous,-,"",-,68,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kruger National Park","Tuberculose bovine (-2018)","",Sauvage,-,"Faune sauvage (espèce non spécifiée)",-,-,-,Animal,7,6,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kruger National Park","Tuberculose bovine (-2018)","",Tous,-,"",-,7,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Brucella abortus (Inf. à)","",Domestique,-,"Bovins",-,-,772,Animal,56,0,0,0,42
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Brucella abortus (Inf. à)","",Tous,-,"",-,2,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Peste équine  (Inf. par le virus de la)","not sampled",Domestique,-,"Equidés",-,-,-,Animal,46,0,0,7,68
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Peste équine  (Inf. par le virus de la)","not sampled",Tous,-,"",-,33,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Rage (Inf. par le virus de la)","",Domestique,-,"Chiens",-,-,-,Animal,84,43,0,49,138391
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Rage (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,-,Animal,14,0,0,14,2446
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Rage (Inf. par le virus de la)","",Domestique,-,"Caprins",-,-,-,Animal,2,0,0,2,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Rage (Inf. par le virus de la)","",Domestique,-,"Chats",-,-,-,Animal,1,0,0,1,2738
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Rage (Inf. par le virus de la)","",Domestique,-,"Equidés",-,-,-,Animal,1,0,0,1,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Rage (Inf. par le virus de la)","",Domestique,-,"Suidés",-,-,-,Animal,1,0,0,1,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Rage (Inf. par le virus de la)","",Sauvage,-,"Faune sauvage (espèce non spécifiée)",-,-,-,Animal,1,0,0,1,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Rage (Inf. par le virus de la)","",Tous,-,"",-,101,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Trypanosomose (transmise par la mouche tsé-tsé) (-2021)","",Domestique,-,"Bovins",-,-,-,Animal,83,26,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Trypanosomose (transmise par la mouche tsé-tsé) (-2021)","",Domestique,-,"Camélidés",-,-,-,Animal,53,0,0,0,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Trypanosomose (transmise par la mouche tsé-tsé) (-2021)","",Sauvage,-,"Faune sauvage (espèce non spécifiée)",-,-,40,Animal,40,26,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Trypanosomose (transmise par la mouche tsé-tsé) (-2021)","",Tous,-,"",-,5,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Typhose aviaire","",Domestique,-,"Oiseaux",-,-,400000,Animal,1000,0,0,1000,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Kwazulu-Natal","Typhose aviaire","",Tous,-,"",-,1,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Cowdriose","",Domestique,-,"Bovins",-,-,-,Animal,14,0,0,0,1
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Cowdriose","",Domestique,-,"Caprins",-,-,-,Animal,1,0,0,0,0
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Cowdriose","",Tous,-,"",-,7,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Dermatose nodulaire contagieuse (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,-,Animal,18,0,0,0,4083
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Dermatose nodulaire contagieuse (Inf. par le virus de la)","",Tous,-,"",-,4,-,-,-,-,-,-,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Ovins",-,-,28,Animal,1,0,0,1,-
2010,Jan-Jui 2010,Afrique,Afrique du Sud,"Limpopo","Fièvre de la Vallée du Rift  (Inf. par le virus de la)","",Domestique,-,"Bovins",-,-,2,Animal,0,0,0,0,320
